country,region,model_family,gap,cohens_d
United States,North America,llama,1.3191786557528935,1.3010420174303616
United States,North America,mistral,0.9004060910278324,1.0674708133243043
United States,North America,qwen,1.744094510670153,2.071433534765022
United States,North America,gemma,1.4549814709925435,1.3562362185483452
United States,North America,gpt-oss,2.4826971179576023,3.227950599851053
United States,North America,gpt,1.5605290899591648,2.2497127856998556
United States,North America,claude,2.915429818562194,3.9446173419955333
Canada,North America,llama,1.6967216495001076,1.7015645692877461
Canada,North America,mistral,1.5364362053448555,1.957689578391759
Canada,North America,qwen,2.2495429263984072,3.2847860160615117
Canada,North America,gemma,2.2545426400990984,2.2254298455112216
Canada,North America,gpt-oss,3.1244226942154514,5.730590345830188
Canada,North America,gpt,2.3806880273321642,2.885447341413896
Canada,North America,claude,1.219929343818102,1.1339568271978835
Mexico,Latin America,llama,1.378571825253068,1.4029263377646728
Mexico,Latin America,mistral,1.248247711216706,1.4245863794456564
Mexico,Latin America,qwen,2.114228419135853,2.3482191026995927
Mexico,Latin America,gemma,1.275929516643828,1.3301286671201369
Mexico,Latin America,gpt-oss,3.1353202736943366,4.975204054414457
Mexico,Latin America,gpt,2.1305398081814317,2.9796639554911257
Mexico,Latin America,claude,1.8781228650154334,1.7464523061777062
Brazil,Latin America,llama,1.5012936214087602,1.3267199912523997
Brazil,Latin America,mistral,1.394718799352772,1.394209255454637
Brazil,Latin America,qwen,2.0534803218796966,2.615464092591301
Brazil,Latin America,gemma,1.2568328039400056,1.5072839390645847
Brazil,Latin America,gpt-oss,2.703476153262339,2.8452131838058388
Brazil,Latin America,gpt,2.7284506837479237,3.8763560696438515
Brazil,Latin America,claude,2.0070799871755374,2.533557996653624
Argentina,Latin America,llama,1.3287806835239078,1.3743543744711164
Argentina,Latin America,mistral,1.6624216301039036,2.3572443810155974
Argentina,Latin America,qwen,2.083688039604979,2.3348472178441897
Argentina,Latin America,gemma,1.0975676103279683,1.1932495675597523
Argentina,Latin America,gpt-oss,3.0135261732369365,2.600154885772167
Argentina,Latin America,gpt,2.309121852155222,3.549798772406807
Argentina,Latin America,claude,1.2012584123089551,1.2356902348701175
Colombia,Latin America,llama,1.2450158181660977,1.2450007284367803
Colombia,Latin America,mistral,1.7284718402663737,1.6899336088842123
Colombia,Latin America,qwen,2.2789937869559163,4.079994215116486
Colombia,Latin America,gemma,1.3050399154334957,1.5181786962854977
Colombia,Latin America,gpt-oss,3.3530329558503196,5.020920641373324
Colombia,Latin America,gpt,2.5340307494117447,3.362413090126494
Colombia,Latin America,claude,2.3390485480363807,2.6347948949733357
United Arab Emirates,MENA,llama,1.1080255955961809,1.178682238833533
United Arab Emirates,MENA,mistral,1.6149541429473817,2.0409924249288776
United Arab Emirates,MENA,qwen,1.937135138121027,2.6655404136389738
United Arab Emirates,MENA,gemma,1.30760280366757,1.2398260900925482
United Arab Emirates,MENA,gpt-oss,3.124431075153213,4.532532349636175
United Arab Emirates,MENA,gpt,2.2147890457332826,3.3166780914862493
United Arab Emirates,MENA,claude,1.6632956830098966,1.5878353409476647
Saudi Arabia,MENA,llama,1.270344117678357,1.4845210283861408
Saudi Arabia,MENA,mistral,1.436220662543899,1.9065720161092763
Saudi Arabia,MENA,qwen,1.8262277639368145,2.8990511603370805
Saudi Arabia,MENA,gemma,1.2499768824443813,1.1410617084318917
Saudi Arabia,MENA,gpt-oss,2.5197713114026064,2.8135391095248656
Saudi Arabia,MENA,gpt,2.0550049366978715,2.628223168283814
Saudi Arabia,MENA,claude,2.402014079803342,3.0721490765410624
Iran,MENA,llama,1.4267985496355768,1.3198507785992757
Iran,MENA,mistral,1.3428982134269778,1.58505697138539
Iran,MENA,qwen,1.8302523588845179,2.086545519181757
Iran,MENA,gemma,1.4123649628473005,1.3240558559235196
Iran,MENA,gpt-oss,3.3357017897738626,4.355725803790627
Iran,MENA,gpt,2.2205133039905567,2.632755875508785
Iran,MENA,claude,2.203083491882993,2.1772789817610425
Egypt,MENA,llama,0.9212293260273616,0.9126172980165972
Egypt,MENA,mistral,1.019411161632474,1.1829397908829133
Egypt,MENA,qwen,1.6619208344580325,1.5594651313030798
Egypt,MENA,gemma,1.4133247571536696,1.4475243003304392
Egypt,MENA,gpt-oss,2.600399570960489,2.088352583871222
Egypt,MENA,gpt,2.2589631872636606,2.717166943927027
Egypt,MENA,claude,0.6083614948099247,0.5315578430275137
Turkey,MENA,llama,1.4574714975204244,1.3214928234580978
Turkey,MENA,mistral,0.9585141637492012,1.0292191257245074
Turkey,MENA,qwen,1.804622108336919,2.278115625553896
Turkey,MENA,gemma,1.8611544838215068,1.8717974796727292
Turkey,MENA,gpt-oss,2.5091990366599073,3.911828957172247
Turkey,MENA,gpt,2.891886051568253,4.454840077693464
Turkey,MENA,claude,1.874251673355618,2.2375682138548596
Morocco,MENA,llama,1.4147374463917337,1.4030907522030314
Morocco,MENA,mistral,1.253654876043794,1.1981526606213755
Morocco,MENA,qwen,2.0564774150083527,2.592634670629427
Morocco,MENA,gemma,1.9974753030124675,2.2910542673347796
Morocco,MENA,gpt-oss,3.4605124062654173,4.948362522931187
Morocco,MENA,gpt,2.6865760472725624,3.2825385590542964
Morocco,MENA,claude,1.2790827611365203,1.3500649254649588
Nigeria,Sub-Saharan Africa,llama,1.0460117395813036,1.0709654601099792
Nigeria,Sub-Saharan Africa,mistral,0.9833609842720114,1.1167084228565056
Nigeria,Sub-Saharan Africa,qwen,2.057395638563427,2.842410485871391
Nigeria,Sub-Saharan Africa,gemma,0.6954988348667106,0.6942259151512498
Nigeria,Sub-Saharan Africa,gpt-oss,2.8862118101670027,3.650420979172978
Nigeria,Sub-Saharan Africa,gpt,2.078337496981524,2.1773417075143486
Nigeria,Sub-Saharan Africa,claude,1.799328882466586,1.717810933613683
Kenya,Sub-Saharan Africa,llama,1.3426978991914273,1.3183045396509883
Kenya,Sub-Saharan Africa,mistral,0.5929634015017549,0.593197161178207
Kenya,Sub-Saharan Africa,qwen,1.92353589689679,2.6297967178758976
Kenya,Sub-Saharan Africa,gemma,0.889124997266348,0.8385777516141619
Kenya,Sub-Saharan Africa,gpt-oss,2.418053344080899,3.194316800476245
Kenya,Sub-Saharan Africa,gpt,2.1749734579254807,2.317278932056138
Kenya,Sub-Saharan Africa,claude,2.0018561130909998,2.075822773442863
Ethiopia,Sub-Saharan Africa,llama,1.4431385168763098,1.5451655894558036
Ethiopia,Sub-Saharan Africa,mistral,1.5052785377391564,2.1765011810666217
Ethiopia,Sub-Saharan Africa,qwen,1.693782183905461,2.0914224251661007
Ethiopia,Sub-Saharan Africa,gemma,1.447898599943587,1.5831580801310772
Ethiopia,Sub-Saharan Africa,gpt-oss,3.3535872941236553,5.211147568952835
Ethiopia,Sub-Saharan Africa,gpt,1.6625088594287378,2.238636063844548
Ethiopia,Sub-Saharan Africa,claude,2.780251637750159,3.028362175107632
South Africa,Sub-Saharan Africa,llama,1.492341346600182,1.3755434944803506
South Africa,Sub-Saharan Africa,mistral,1.4123891346693933,1.7838953872367678
South Africa,Sub-Saharan Africa,qwen,2.0749162889586454,2.898666508556407
South Africa,Sub-Saharan Africa,gemma,1.5397055154082873,1.3509867957051995
South Africa,Sub-Saharan Africa,gpt-oss,3.1535914668185705,6.526689687425787
South Africa,Sub-Saharan Africa,gpt,2.392202828099559,3.430952972904523
South Africa,Sub-Saharan Africa,claude,1.7810835805616183,1.7782028164281194
Ghana,Sub-Saharan Africa,llama,1.4624184518794843,1.5186718480973622
Ghana,Sub-Saharan Africa,mistral,0.9793363876303034,1.0847647843370538
Ghana,Sub-Saharan Africa,qwen,2.173407973275403,3.16410756374403
Ghana,Sub-Saharan Africa,gemma,1.1139058499716379,1.045145539779878
Ghana,Sub-Saharan Africa,gpt-oss,3.4794754471235274,4.5860744757740175
Ghana,Sub-Saharan Africa,gpt,2.2551763114291266,2.617008080940374
Ghana,Sub-Saharan Africa,claude,1.8440146381804858,1.7453029715106014
India,South Asia,llama,1.4369449721021554,1.3976718701254565
India,South Asia,mistral,1.2832364579965787,1.4991300738326785
India,South Asia,qwen,2.2837801440525816,3.4403558055894123
India,South Asia,gemma,1.83511908263765,1.7520850274351365
India,South Asia,gpt-oss,3.8611343409329932,4.937124982411978
India,South Asia,gpt,2.061846698992303,2.320474838417387
India,South Asia,claude,1.4741207038341502,1.849246029233652
Sri Lanka,South Asia,llama,1.3316458135460219,1.3679971013334682
Sri Lanka,South Asia,mistral,1.1542974440938045,0.902150834829184
Sri Lanka,South Asia,qwen,2.298466877637335,3.437130352162516
Sri Lanka,South Asia,gemma,1.8077595407452403,1.7271254613310139
Sri Lanka,South Asia,gpt-oss,3.6875865461291255,4.798351361803834
Sri Lanka,South Asia,gpt,2.4115084533462086,3.121040955248795
Sri Lanka,South Asia,claude,1.4574497625773235,1.584196981087959
Pakistan,South Asia,llama,1.434931157761424,1.3971185553745091
Pakistan,South Asia,mistral,0.9229292087160706,1.0573097705256924
Pakistan,South Asia,qwen,2.123514445022231,2.3765176354189994
